ID_Ucznia_w_klasie,ID_Przedmiotu,Ocena,Frekwencja
100185,1,3,100
100185,2,4,100
100185,3,1,94
100186,1,2,80
100186,2,3,78
100186,3,4,85
100187,1,5,89
100187,2,3,58
100187,3,4,72
100188,1,4,78
100188,2,4,81
100188,3,3,85
100189,1,4,15
100189,2,5,85
100189,3,3,98
100190,1,5,70
100190,2,4,100
100190,3,1,88
100191,1,3,79
100191,2,5,86
100191,3,6,63
100192,1,1,82
100192,2,3,33
100192,3,3,77
100193,1,4,89
100193,2,4,37
100193,3,2,72
100194,1,4,57
100194,2,5,21
100194,3,6,75
100195,1,2,74
100195,2,3,86
100195,3,2,73
100196,1,4,81
100196,2,5,70
100196,3,6,81
100197,1,3,99
100197,2,4,81
100197,3,3,88
100198,1,3,89
100198,2,5,55
100198,3,6,85
100199,1,4,38
100199,2,6,98
100199,3,6,54
100200,1,4,75
100200,2,1,78
100200,3,3,75
100201,1,5,71
100201,2,4,81
100201,3,5,49
100202,1,4,85
100202,2,4,82
100202,3,4,77
100203,1,3,88
100203,2,5,59
100203,3,4,33
100204,1,4,96
100204,2,4,84
100204,3,4,86
100205,1,4,94
100205,2,3,86
100205,3,3,79
100206,1,1,80
100206,2,3,91
100206,3,3,74
100207,1,4,81
100207,2,3,83
100207,3,3,83
100208,1,3,88
100208,2,4,54
100208,3,2,83
100209,1,3,74
100209,2,4,54
100209,3,3,78
100210,1,4,88
100210,2,2,71
100210,3,2,94
100211,1,2,70
100211,2,1,86
100211,3,3,84
100212,1,5,71
100212,2,3,95
100212,3,2,29
100213,1,6,79
100213,2,4,85
100213,3,1,70
100214,1,3,73
100214,2,2,80
100214,3,4,85
100215,1,3,60
100215,2,3,79
100215,3,5,84
100216,1,4,100
100216,2,4,100
100216,3,4,80
100217,1,4,82
100217,2,5,86
100217,3,3,88
100218,1,3,86
100218,2,6,80
100218,3,3,50
100219,1,3,77
100219,2,3,62
100219,3,5,100
100220,1,2,91
100220,2,3,70
100220,3,5,86
100221,1,1,76
100221,2,1,77
100221,3,5,82
100222,1,1,36
100222,2,3,89
100222,3,1,80
100223,1,1,95
100223,2,4,80
100223,3,5,79
100224,1,5,80
100224,2,4,46
100224,3,5,78
100225,1,4,76
100225,2,3,95
100225,3,1,64
100226,1,3,82
100226,2,4,16
100226,3,1,88
100227,1,4,100
100227,2,1,89
100227,3,1,88
100228,1,3,83
100228,2,5,74
100228,3,2,75
100229,1,4,71
100229,2,4,96
100229,3,2,86
100230,1,3,31
100230,2,5,66
100230,3,2,70
100231,1,5,79
100231,2,3,61
100231,3,4,98
100232,1,3,60
100232,2,3,89
100232,3,4,96
100233,1,4,100
100233,2,3,83
100233,3,6,77
100234,1,3,100
100234,2,4,85
100234,3,4,79
100235,1,4,81
100235,2,2,85
100235,3,3,96
100236,1,3,75
100236,2,3,95
100236,3,3,79
100237,1,2,34
100237,2,3,84
100237,3,3,77
100238,1,3,44
100238,2,4,71
100238,3,1,24
100239,1,4,71
100239,2,4,74
100239,3,5,100
100240,1,3,99
100240,2,3,65
100240,3,5,86
100241,1,3,92
100241,2,3,92
100241,3,5,85
100242,1,1,88
100242,2,2,59
100242,3,1,77
100243,1,1,94
100243,2,1,100
100243,3,4,80
100244,1,4,43
100244,2,3,78
100244,3,3,84
100245,1,5,44
100245,2,5,94
100245,3,4,86
100246,1,3,50
100246,2,3,70
100246,3,2,98
100247,1,5,70
100247,2,1,86
100247,3,3,73
100248,1,4,86
100248,2,5,78
100248,3,3,14
100249,1,4,88
100249,2,2,98
100249,3,4,98
100250,1,4,65
100250,2,4,63
100250,3,4,85
100251,1,4,18
100251,2,2,76
100251,3,4,36
100252,1,4,100
100252,2,4,51
100252,3,5,78
100253,1,3,63
100253,2,3,71
100253,3,3,63
100254,1,3,100
100254,2,3,40
100254,3,4,56
100255,1,3,96
100255,2,3,73
100255,3,4,100
100256,1,3,21
100256,2,4,93
100256,3,3,79
100257,1,3,87
100257,2,2,90
100257,3,3,73
100258,1,3,84
100258,2,3,100
100258,3,4,83
100259,1,5,87
100259,2,4,83
100259,3,5,40
100260,1,5,100
100260,2,3,85
100260,3,5,83
100261,1,3,80
100261,2,1,26
100261,3,3,73
100262,1,3,73
100262,2,4,71
100262,3,4,10
100263,1,3,77
100263,2,4,28
100263,3,1,85
100264,1,1,94
100264,2,4,75
100264,3,4,90
100265,1,5,38
100265,2,2,83
100265,3,3,59
100266,1,5,30
100266,2,3,89
100266,3,4,83
100267,1,4,86
100267,2,5,80
100267,3,6,75
100268,1,5,25
100268,2,3,76
100268,3,3,85
100269,1,2,83
100269,2,2,91
100269,3,5,87
100270,1,4,70
100270,2,1,93
100270,3,6,72
100271,1,3,100
100271,2,2,85
100271,3,6,89
100272,1,3,88
100272,2,6,79
100272,3,2,67
100273,1,4,73
100273,2,3,77
100273,3,3,71
100274,1,3,20
100274,2,5,92
100274,3,1,58
100275,1,3,52
100275,2,3,89
100275,3,1,87
100276,1,5,34
100276,2,3,92
100276,3,4,74
100277,1,3,91
100277,2,4,87
100277,3,6,77
100278,1,3,75
100278,2,5,73
100278,3,3,97
100279,1,4,55
100279,2,2,67
100279,3,4,95
100280,1,1,80
100280,2,3,70
100280,3,5,70
100281,1,3,79
100281,2,3,79
100281,3,5,80
100282,1,5,86
100282,2,2,86
100282,3,4,83
100283,1,3,78
100283,2,6,70
100283,3,2,86
100284,1,3,71
100284,2,4,90
100284,3,1,70
100285,1,4,66
100285,2,4,82
100285,3,3,34
100286,1,3,77
100286,2,4,73
100286,3,1,72
100287,1,5,92
100287,2,1,76
100287,3,5,82
100288,1,4,69
100288,2,3,23
100288,3,4,31
100289,1,3,81
100289,2,2,98
100289,3,1,72
100290,1,3,86
100290,2,3,74
100290,3,3,80
100291,1,3,82
100291,2,1,79
100291,3,5,29
100292,1,6,95
100292,2,6,94
100292,3,1,83
100293,1,6,100
100293,2,3,82
100293,3,4,88
100294,1,4,84
100294,2,3,73
100294,3,3,64
100295,1,4,79
100295,2,3,76
100295,3,1,95
100296,1,3,80
100296,2,4,40
100296,3,1,89
100297,1,3,88
100297,2,3,77
100297,3,3,83
100298,1,3,86
100298,2,1,93
100298,3,3,33
100299,1,3,76
100299,2,3,100
100299,3,4,80
100300,1,3,71
100300,2,4,77
100300,3,4,83
100301,1,5,25
100301,2,1,83
100301,3,3,54
100302,1,3,86
100302,2,1,78
100302,3,3,77
100303,1,6,62
100303,2,4,87
100303,3,3,30
100304,1,4,49
100304,2,4,82
100304,3,5,14
100305,1,4,88
100305,2,2,54
100305,3,5,81
100306,1,1,88
100306,2,3,100
100306,3,2,83
100307,1,4,67
100307,2,5,72
100307,3,6,89
100308,1,4,66
100308,2,4,88
100308,3,3,98
100309,1,3,70
100309,2,4,72
100309,3,3,44
100310,1,4,100
100310,2,4,52
100310,3,1,98
100311,1,5,76
100311,2,3,70
100311,3,3,25
100312,1,6,63
100312,2,4,95
100312,3,4,34
100313,1,2,78
100313,2,4,100
100313,3,4,80
100314,1,5,81
100314,2,4,70
100314,3,2,72
100315,1,1,42
100315,2,5,84
100315,3,4,75
100316,1,4,78
100316,2,3,100
100316,3,2,92
100317,1,3,72
100317,2,3,71
100317,3,3,99
100318,1,3,80
100318,2,4,87
100318,3,4,79
100319,1,4,90
100319,2,2,89
100319,3,3,88
100320,1,3,100
100320,2,5,71
100320,3,2,74
100321,1,4,76
100321,2,3,63
100321,3,3,55
100322,1,2,91
100322,2,4,31
100322,3,4,75
100323,1,4,96
100323,2,2,89
100323,3,3,80
100324,1,4,38
100324,2,2,89
100324,3,3,70
100325,1,4,91
100325,2,4,62
100325,3,2,77
100326,1,4,73
100326,2,3,80
100326,3,4,86
100327,1,3,96
100327,2,5,98
100327,3,3,71
100328,1,1,78
100328,2,3,94
100328,3,2,60
100329,1,4,71
100329,2,3,97
100329,3,4,87
100330,1,5,70
100330,2,4,76
100330,3,3,72
100331,1,4,63
100331,2,5,88
100331,3,3,47
100332,1,3,97
100332,2,5,56
100332,3,4,71
100333,1,2,73
100333,2,3,80
100333,3,6,84
100334,1,5,70
100334,2,3,100
100334,3,3,27
100335,1,5,84
100335,2,1,72
100335,3,5,88
100336,1,4,94
100336,2,3,99
100336,3,3,14
100337,1,2,83
100337,2,3,57
100337,3,3,75
100338,1,5,75
100338,2,4,79
100338,3,2,100
100339,1,3,35
100339,2,2,81
100339,3,3,100
100340,1,4,86
100340,2,5,57
100340,3,4,37
100341,1,2,100
100341,2,5,72
100341,3,6,58
100342,1,3,84
100342,2,3,90
100342,3,3,79
100343,1,2,77
100343,2,5,37
100343,3,1,85
100344,1,6,75
100344,2,3,66
100344,3,2,85
100345,1,2,83
100345,2,3,49
100345,3,3,88
100346,1,4,74
100346,2,5,75
100346,3,4,46
100347,1,3,33
100347,2,4,96
100347,3,4,96
100348,1,6,92
100348,2,4,82
100348,3,5,88
100349,1,5,100
100349,2,1,81
100349,3,3,76
100350,1,1,88
100350,2,3,72
100350,3,2,75
100351,1,3,81
100351,2,5,83
100351,3,3,86
100352,1,1,85
100352,2,4,67
100352,3,4,51
100353,1,4,64
100353,2,3,70
100353,3,1,70
100354,1,3,86
100354,2,3,76
100354,3,4,66
100355,1,5,87
100355,2,3,99
100355,3,3,58
100356,1,5,70
100356,2,5,86
100356,3,2,81
100357,1,3,100
100357,2,2,91
100357,3,2,74
100358,1,3,90
100358,2,3,85
100358,3,5,78
100359,1,2,82
100359,2,1,80
100359,3,3,32
100360,1,5,85
100360,2,4,73
100360,3,6,74
100361,1,4,79
100361,2,4,70
100361,3,1,97
100362,1,4,80
100362,2,4,42
100362,3,4,75
100363,1,1,75
100363,2,3,87
100363,3,3,22
100364,1,4,88
100364,2,4,96
100364,3,2,98
100365,1,5,76
100365,2,1,78
100365,3,4,97
100366,1,2,80
100366,2,2,70
100366,3,5,84
100367,1,5,34
100367,2,3,78
100367,3,4,86
100368,1,1,100
100368,2,3,81
100368,3,5,80
100369,1,2,74
100369,2,5,79
100369,3,4,77
100370,1,3,71
100370,2,4,100
100370,3,3,72
100371,1,2,38
100371,2,3,35
100371,3,4,89
100372,1,3,76
100372,2,3,90
100372,3,3,77
100373,1,5,77
100373,2,3,90
100373,3,2,54
100374,1,4,78
100374,2,5,75
100374,3,2,86
100375,1,2,75
100375,2,4,40
100375,3,3,63
100376,1,4,63
100376,2,5,99
100376,3,4,77
100377,1,1,71
100377,2,5,76
100377,3,5,80
100378,1,4,45
100378,2,4,99
100378,3,4,99
100379,1,5,55
100379,2,3,81
100379,3,4,64
100380,1,4,82
100380,2,3,79
100380,3,5,27
100381,1,5,74
100381,2,5,82
100381,3,6,90
100382,1,3,44
100382,2,6,73
100382,3,3,81
100383,1,3,92
100383,2,5,76
100383,3,1,80
100384,1,1,90
100384,2,6,34
100384,3,3,71
100385,1,3,85
100385,2,4,51
100385,3,3,98
100386,1,3,88
100386,2,4,80
100386,3,2,63
100387,1,4,90
100387,2,4,99
100387,3,6,25
100388,1,5,100
100388,2,2,92
100388,3,4,99
100389,1,6,44
100389,2,4,99
100389,3,3,74
100390,1,3,74
100390,2,4,62
100390,3,5,80
100391,1,3,81
100391,2,4,86
100391,3,3,83
100392,1,4,25
100392,2,3,85
100392,3,2,74
100393,1,5,46
100393,2,1,85
100393,3,4,73
100394,1,3,76
100394,2,4,77
100394,3,5,88
100395,1,1,91
100395,2,4,86
100395,3,5,72
100396,1,3,61
100396,2,4,74
100396,3,4,86
100397,1,2,86
100397,2,5,82
100397,3,5,88
100398,1,4,75
100398,2,3,85
100398,3,3,73
100399,1,3,36
100399,2,5,77
100399,3,4,76
100400,1,2,85
100400,2,2,76
100400,3,4,91
100401,1,3,83
100401,2,4,95
100401,3,4,79
100402,1,2,72
100402,2,2,94
100402,3,3,82
100403,1,3,98
100403,2,4,86
100403,3,1,70
100404,1,4,79
100404,2,3,77
100404,3,6,84
100405,1,4,84
100405,2,2,52
100405,3,4,71
100406,1,6,98
100406,2,3,76
100406,3,5,81
100407,1,4,94
100407,2,4,84
100407,3,3,83
100408,1,4,69
100408,2,4,70
100408,3,3,82
100409,1,2,59
100409,2,3,78
100409,3,5,36
100410,1,1,72
100410,2,1,100
100410,3,4,83
100411,1,3,54
100411,2,5,81
100411,3,4,83
100412,1,5,88
100412,2,5,87
100412,3,6,99
100413,1,4,70
100413,2,4,82
100413,3,3,99
100414,1,1,79
100414,2,3,70
100414,3,2,66
100415,1,4,77
100415,2,4,64
100415,3,4,75
100416,1,1,78
100416,2,3,83
100416,3,1,13
100417,1,3,38
100417,2,6,73
100417,3,4,56
100418,1,1,73
100418,2,3,92
100418,3,4,95
100419,1,6,53
100419,2,4,77
100419,3,1,100
100420,1,6,100
100420,2,4,87
100420,3,1,72
100421,1,5,82
100421,2,3,87
100421,3,3,56
100422,1,4,88
100422,2,5,80
100422,3,3,78
100423,1,4,67
100423,2,3,63
100423,3,4,29
100424,1,4,78
100424,2,1,76
100424,3,3,98
100425,1,2,71
100425,2,5,68
100425,3,3,91
100426,1,3,89
100426,2,3,74
100426,3,1,87
100427,1,4,99
100427,2,3,72
100427,3,4,99
100428,1,3,75
100428,2,3,85
100428,3,1,89
100429,1,4,88
100429,2,3,88
100429,3,6,82
100430,1,4,76
100430,2,2,97
100430,3,5,100
100431,1,4,71
100431,2,4,86
100431,3,3,80
100432,1,1,100
100432,2,4,78
100432,3,4,85
100433,1,4,72
100433,2,4,31
100433,3,3,97
100434,1,4,86
100434,2,4,79
100434,3,4,70
100435,1,3,72
100435,2,2,53
100435,3,4,50
100436,1,1,86
100436,2,4,10
100436,3,4,39
100437,1,4,89
100437,2,4,83
100437,3,1,97
100438,1,3,100
100438,2,5,76
100438,3,2,100
100439,1,4,86
100439,2,3,62
100439,3,4,100
100440,1,4,73
100440,2,3,28
100440,3,4,79
100441,1,1,99
100441,2,3,77
100441,3,5,94
100442,1,4,71
100442,2,1,57
100442,3,4,51
100443,1,4,80
100443,2,3,85
100443,3,4,85
100444,1,3,100
100444,2,2,81
100444,3,2,72
100445,1,3,78
100445,2,6,28
100445,3,3,73
100446,1,5,75
100446,2,3,77
100446,3,1,90
100447,1,4,86
100447,2,4,77
100447,3,3,76
100448,1,1,46
100448,2,5,100
100448,3,3,61
100449,1,2,88
100449,2,4,89
100449,3,2,78
100450,1,4,86
100450,2,5,93
100450,3,3,24
100451,1,3,87
100451,2,4,90
100451,3,1,85
100452,1,3,73
100452,2,2,89
100452,3,3,98
100453,1,3,81
100453,2,4,74
100453,3,3,74
100454,1,3,79
100454,2,3,72
100454,3,3,80
100455,1,4,92
100455,2,3,52
100455,3,4,97
100456,1,4,57
100456,2,1,76
100456,3,3,82
100457,1,3,75
100457,2,5,73
100457,3,3,85
100458,1,1,86
100458,2,4,73
100458,3,3,86
100459,1,5,74
100459,2,3,96
100459,3,4,51
100460,1,4,60
100460,2,3,45
100460,3,5,73
100461,1,5,83
100461,2,3,88
100461,3,1,50
100462,1,3,62
100462,2,4,77
100462,3,4,78
100463,1,4,84
100463,2,3,81
100463,3,3,90
100464,1,1,96
100464,2,4,97
100464,3,4,73
100465,1,4,78
100465,2,3,96
100465,3,3,72
100466,1,5,83
100466,2,3,80
100466,3,3,64
100467,1,4,71
100467,2,1,80
100467,3,4,78
100468,1,3,92
100468,2,5,67
100468,3,2,92
100469,1,3,95
100469,2,5,71
100469,3,5,71
100470,1,4,71
100470,2,3,68
100470,3,4,76
100471,1,4,74
100471,2,1,90
100471,3,4,39
100472,1,4,77
100472,2,5,71
100472,3,3,81
100473,1,4,84
100473,2,5,98
100473,3,5,74
100474,1,3,71
100474,2,4,52
100474,3,1,86
100475,1,3,76
100475,2,4,87
100475,3,3,83
100476,1,4,88
100476,2,4,77
100476,3,4,86
100477,1,6,58
100477,2,4,57
100477,3,3,88
100478,1,4,40
100478,2,3,85
100478,3,2,61
100479,1,5,35
100479,2,3,36
100479,3,4,72
100480,1,4,40
100480,2,3,89
100480,3,3,77
100481,1,5,97
100481,2,3,73
100481,3,4,92
100482,1,3,80
100482,2,5,78
100482,3,3,64
100483,1,2,41
100483,2,3,91
100483,3,3,97
100484,1,5,91
100484,2,3,21
100484,3,2,71
100485,1,4,82
100485,2,2,78
100485,3,3,89
100486,1,2,74
100486,2,2,86
100486,3,4,89
100487,1,4,25
100487,2,3,90
100487,3,5,85
100488,1,2,88
100488,2,3,93
100488,3,3,85
100489,1,6,87
100489,2,5,99
100489,3,3,72
100490,1,4,80
100490,2,4,91
100490,3,3,80
100491,1,5,80
100491,2,4,35
100491,3,4,100
100492,1,3,44
100492,2,4,78
100492,3,6,73
100493,1,1,78
100493,2,5,84
100493,3,1,95
100494,1,4,88
100494,2,5,72
100494,3,4,77
100495,1,3,79
100495,2,2,89
100495,3,3,79
100496,1,1,81
100496,2,5,70
100496,3,4,71
100497,1,2,84
100497,2,4,100
100497,3,1,96
100498,1,3,78
100498,2,2,96
100498,3,3,75
100499,1,2,84
100499,2,5,78
100499,3,3,87
100500,1,3,28
100500,2,4,89
100500,3,6,76
100501,1,4,86
100501,2,4,91
100501,3,2,59
100502,1,4,78
100502,2,6,96
100502,3,3,80
100503,1,4,87
100503,2,4,80
100503,3,1,85
100504,1,3,89
100504,2,5,98
100504,3,5,78
100505,1,3,76
100505,2,3,26
100505,3,5,88
100506,1,2,88
100506,2,5,70
100506,3,4,82
100507,1,3,84
100507,2,1,38
100507,3,3,71
100508,1,2,95
100508,2,1,73
100508,3,3,75
100509,1,1,80
100509,2,1,76
100509,3,4,97
100510,1,3,85
100510,2,4,96
100510,3,5,72
100511,1,4,90
100511,2,3,74
100511,3,3,71
100512,1,3,71
100512,2,3,76
100512,3,4,71
100513,1,5,80
100513,2,5,84
100513,3,1,89
100514,1,2,100
100514,2,1,85
100514,3,3,81
100515,1,5,84
100515,2,3,81
100515,3,4,82
100516,1,5,75
100516,2,3,72
100516,3,5,59
100517,1,4,81
100517,2,3,79
100517,3,2,97
100518,1,4,80
100518,2,5,73
100518,3,4,93
100519,1,6,34
100519,2,5,96
100519,3,1,88
100520,1,6,29
100520,2,4,80
100520,3,2,71
100521,1,4,97
100521,2,5,68
100521,3,4,70
100522,1,6,83
100522,2,5,74
100522,3,3,98
100523,1,4,93
100523,2,5,74
100523,3,4,76
100524,1,3,75
100524,2,4,100
100524,3,1,75
100525,1,3,76
100525,2,3,48
100525,3,1,88
100526,1,4,93
100526,2,3,80
100526,3,1,78
100527,1,4,72
100527,2,1,81
100527,3,3,79
100528,1,5,71
100528,2,1,85
100528,3,4,57
100529,1,5,57
100529,2,4,55
100529,3,5,74
100530,1,1,100
100530,2,6,83
100530,3,4,74
100531,1,4,75
100531,2,4,59
100531,3,5,99
100532,1,3,38
100532,2,2,77
100532,3,5,89
100533,1,5,100
100533,2,3,45
100533,3,3,94
100534,1,3,77
100534,2,5,80
100534,3,3,74
100535,1,4,87
100535,2,4,55
100535,3,4,75
100536,1,3,87
100536,2,3,87
100536,3,3,70
100537,1,3,92
100537,2,5,62
100537,3,3,86
100538,1,3,97
100538,2,1,93
100538,3,4,80
100539,1,2,73
100539,2,3,60
100539,3,2,82
100540,1,1,96
100540,2,3,79
100540,3,5,80
100541,1,2,79
100541,2,6,100
100541,3,4,79
100542,1,2,88
100542,2,4,79
100542,3,5,83
100543,1,5,74
100543,2,1,79
100543,3,5,77
100544,1,4,95
100544,2,1,86
100544,3,3,88
100545,1,2,86
100545,2,4,66
100545,3,3,74
100546,1,3,82
100546,2,6,81
100546,3,4,89
100547,1,3,82
100547,2,3,84
100547,3,5,79
100548,1,4,71
100548,2,2,26
100548,3,6,97
100549,1,1,76
100549,2,3,92
100549,3,6,65
100550,1,1,78
100550,2,4,100
100550,3,1,83
100551,1,5,81
100551,2,1,54
100551,3,3,84
100552,1,6,90
100552,2,2,64
100552,3,1,97
100553,1,3,82
100553,2,4,82
100553,3,2,86
100554,1,4,73
100554,2,4,72
100554,3,4,76
100555,1,5,54
100555,2,6,35
100555,3,4,79
100556,1,3,60
100556,2,2,81
100556,3,1,78
100557,1,5,87
100557,2,6,55
100557,3,4,79
100558,1,5,93
100558,2,4,45
100558,3,3,81
100559,1,5,72
100559,2,4,64
100559,3,2,42
100560,1,1,87
100560,2,2,74
100560,3,6,88
100561,1,3,86
100561,2,3,90
100561,3,4,80
100562,1,3,75
100562,2,4,87
100562,3,4,95
100563,1,3,70
100563,2,5,46
100563,3,4,79
100564,1,4,85
100564,2,2,88
100564,3,4,99
100565,1,5,93
100565,2,4,92
100565,3,3,87
100566,1,3,93
100566,2,4,89
100566,3,4,78
100567,1,5,65
100567,2,4,85
100567,3,3,51
100568,1,1,99
100568,2,5,73
100568,3,3,90
100569,1,1,77
100569,2,2,76
100569,3,6,90
100570,1,3,88
100570,2,5,35
100570,3,1,22
100571,1,3,94
100571,2,3,68
100571,3,4,83
100572,1,3,68
100572,2,3,11
100572,3,4,69
100573,1,5,79
100573,2,3,88
100573,3,4,50
100574,1,3,92
100574,2,1,82
100574,3,2,95
100575,1,4,79
100575,2,3,81
100575,3,3,85
100576,1,6,98
100576,2,3,70
100576,3,3,89
100577,1,5,88
100577,2,4,96
100577,3,4,79
100578,1,2,88
100578,2,4,71
100578,3,4,14
100579,1,3,26
100579,2,1,78
100579,3,6,75
100580,1,3,94
100580,2,2,80
100580,3,4,89
100581,1,3,86
100581,2,4,83
100581,3,2,84
100582,1,3,83
100582,2,3,82
100582,3,3,90
100583,1,5,86
100583,2,2,76
100583,3,4,90
100584,1,3,80
100584,2,4,74
100584,3,3,59
100585,1,3,95
100585,2,4,81
100585,3,3,76
100586,1,3,100
100586,2,4,22
100586,3,3,52
100587,1,3,82
100587,2,3,54
100587,3,4,87
100588,1,4,76
100588,2,2,22
100588,3,3,79
100589,1,5,77
100589,2,4,53
100589,3,4,72
100590,1,3,98
100590,2,4,75
100590,3,6,71
100591,1,3,37
100591,2,5,78
100591,3,4,87
100592,1,3,77
100592,2,3,75
100592,3,2,87
100593,1,3,100
100593,2,5,93
100593,3,2,84
100594,1,3,73
100594,2,3,85
100594,3,4,78
100595,1,5,70
100595,2,2,89
100595,3,4,82
100596,1,3,78
100596,2,5,84
100596,3,3,51
100597,1,3,77
100597,2,4,88
100597,3,3,87
100598,1,1,100
100598,2,5,72
100598,3,5,100
100599,1,1,79
100599,2,3,90
100599,3,2,88
100600,1,4,46
100600,2,2,81
100600,3,4,89
100601,1,3,89
100601,2,5,82
100601,3,1,77
100602,1,3,55
100602,2,3,42
100602,3,4,88
100603,1,1,84
100603,2,5,100
100603,3,4,36
100604,1,1,95
100604,2,4,75
100604,3,5,89
100605,1,2,74
100605,2,6,50
100605,3,3,97
100606,1,3,75
100606,2,2,67
100606,3,2,88
100607,1,4,79
100607,2,4,70
100607,3,5,89
100608,1,3,81
100608,2,4,81
100608,3,5,86
100609,1,3,76
100609,2,1,83
100609,3,6,21
100610,1,3,95
100610,2,4,88
100610,3,2,100
100611,1,4,93
100611,2,5,98
100611,3,3,100
100612,1,1,74
100612,2,3,85
100612,3,4,89
100613,1,4,53
100613,2,3,85
100613,3,1,83
100614,1,6,79
100614,2,4,63
100614,3,5,79
100615,1,5,92
100615,2,5,81
100615,3,3,78
100616,1,3,79
100616,2,4,45
100616,3,6,88
100617,1,6,90
100617,2,4,80
100617,3,3,51
100618,1,4,48
100618,2,4,84
100618,3,5,83
100619,1,4,32
100619,2,4,82
100619,3,1,84
100620,1,3,84
100620,2,4,95
100620,3,2,80
100621,1,2,72
100621,2,3,72
100621,3,3,85
100622,1,4,100
100622,2,2,79
100622,3,4,89
100623,1,2,85
100623,2,5,62
100623,3,4,84
100624,1,1,76
100624,2,3,78
100624,3,2,100
100625,1,4,79
100625,2,1,51
100625,3,5,75
100626,1,2,100
100626,2,3,70
100626,3,1,81
100627,1,2,46
100627,2,3,100
100627,3,3,92
100628,1,4,16
100628,2,4,80
100628,3,3,77
100629,1,4,71
100629,2,1,75
100629,3,6,62
100630,1,2,79
100630,2,6,71
100630,3,3,73
100631,1,4,80
100631,2,4,70
100631,3,3,77
100632,1,1,80
100632,2,1,79
100632,3,4,80
100633,1,3,25
100633,2,4,39
100633,3,4,80
100634,1,5,87
100634,2,5,73
100634,3,3,87
100635,1,4,70
100635,2,4,74
100635,3,6,88
100636,1,2,86
100636,2,4,91
100636,3,4,74
100637,1,3,89
100637,2,5,81
100637,3,4,70
100638,1,3,75
100638,2,3,81
100638,3,4,79
100639,1,4,99
100639,2,3,90
100639,3,2,79
100640,1,4,57
100640,2,4,88
100640,3,4,84
100641,1,3,83
100641,2,2,66
100641,3,4,100
100642,1,3,39
100642,2,1,95
100642,3,1,73
100643,1,3,85
100643,2,3,74
100643,3,2,90
100644,1,1,63
100644,2,3,86
100644,3,5,94
100645,1,1,78
100645,2,3,97
100645,3,5,74
100646,1,6,93
100646,2,1,94
100646,3,2,78
100647,1,3,92
100647,2,2,52
100647,3,3,72
100648,1,4,74
100648,2,3,78
100648,3,3,100
100649,1,5,27
100649,2,4,100
100649,3,3,95
100650,1,4,65
100650,2,5,77
100650,3,5,83
100651,1,4,85
100651,2,6,76
100651,3,3,81
100652,1,4,95
100652,2,4,78
100652,3,1,82
100653,1,5,97
100653,2,3,99
100653,3,1,74
100654,1,3,48
100654,2,4,95
100654,3,2,80
100655,1,4,23
100655,2,4,76
100655,3,3,93
100656,1,1,94
100656,2,4,89
