00-159,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 7 to last
00-201,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 6 to 28
00-210,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 30 to last
00-243,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 2 to 4
00-713,"Al. Godziny ""W""",Warszawa,Mazowieckie,
00-116,Al. Jana Pawla II,Warszawa,Mazowieckie,from 18 to 18
00-117,Al. Jana Pawla II,Warszawa,Mazowieckie,from 2 to 10
00-124,Al. Jana Pawla II,Warszawa,Mazowieckie,from 12 to 16
00-133,Al. Jana Pawla II,Warszawa,Mazowieckie,from 20 to 26
00-135,Al. Jana Pawla II,Warszawa,Mazowieckie,from 28 to 30
00-141,Al. Jana Pawla II,Warszawa,Mazowieckie,from 32 to 42
00-145,Al. Jana Pawla II,Warszawa,Mazowieckie,from 44 to 44
00-148,Al. Jana Pawla II,Warszawa,Mazowieckie,from 46 to 50
00-152,Al. Jana Pawla II,Warszawa,Mazowieckie,from 52 to 54
00-156,Al. Jana Pawla II,Warszawa,Mazowieckie,from 56 to 58
00-166,Al. Jana Pawla II,Warszawa,Mazowieckie,from 60 to 62
00-170,Al. Jana Pawla II,Warszawa,Mazowieckie,from 64 to 68
00-175,Al. Jana Pawla II,Warszawa,Mazowieckie,from 70 to last
00-804,Al. Jana Pawla II,Warszawa,Mazowieckie,from 1 to 5
00-823,Al. Jana Pawla II,Warszawa,Mazowieckie,from 7 to 9
00-828,Al. Jana Pawla II,Warszawa,Mazowieckie,from 11 to 15
00-854,Al. Jana Pawla II,Warszawa,Mazowieckie,from 17 to 25
00-867,Al. Jana Pawla II,Warszawa,Mazowieckie,from 27 to 33
00-899,Al. Jana Pawla II,Warszawa,Mazowieckie,from 35 to 39
00-497,Al. Lorentza Stanislawa,Warszawa,Mazowieckie,
00-334,Al. Na Skarpie,Warszawa,Mazowieckie,from 38 to last from 39 to last
00-488,Al. Na Skarpie,Warszawa,Mazowieckie,from 20 to 36 from 15 to 37
00-608,Al. Niepodleglosci,Warszawa,Mazowieckie,from 184 to 218
00-663,Al. Niepodleglosci,Warszawa,Mazowieckie,from 220 to last
00-712,Al. Polski Walczacej,Warszawa,Mazowieckie,
00-565,Al. Przyjaciol,Warszawa,Mazowieckie,
00-556,Al. Roz,Warszawa,Mazowieckie,
00-090,Al. Solidarnosci,Warszawa,Mazowieckie,from 71 to 79
00-140,Al. Solidarnosci,Warszawa,Mazowieckie,from 103 to 117
00-144,Al. Solidarnosci,Warszawa,Mazowieckie,from 81 to 101
00-145,Al. Solidarnosci,Warszawa,Mazowieckie,from 72 to 82
00-240,Al. Solidarnosci,Warszawa,Mazowieckie,from 58 to 70
00-877,Al. Solidarnosci,Warszawa,Mazowieckie,from 151 to last
00-897,Al. Solidarnosci,Warszawa,Mazowieckie,from 119 to 125
00-898,Al. Solidarnosci,Warszawa,Mazowieckie,from 127 to 149
00-460,Al. Szpitala Ujazdowskiego,Warszawa,Mazowieckie,
00-580,Al. Szucha Jana Chrystiana,Warszawa,Mazowieckie,from 1 to last
00-582,Al. Szucha Jana Chrystiana,Warszawa,Mazowieckie,from 2 to last
00-570,Al. Wyzwolenia,Warszawa,Mazowieckie,from 2 to last
00-572,Al. Wyzwolenia,Warszawa,Mazowieckie,from 1 to last
00-422,"Al. Zgrupowania AK ""Kryska""",Warszawa,Mazowieckie,
00-024,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 26 to 54
00-024,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 26 to 54
00-374,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 2 to 24
00-495,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 1 to 9
00-508,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 11 to 35
00-692,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 37 to 45
00-697,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 47 to 79
00-803,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 56 to 80
00-807,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 82 to 122
00-813,Aleje Jerozolimskie,Warszawa,Mazowieckie,from 124 to 128
00-461,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 6 to 6
00-478,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 2 to 4 from 8 to last
00-536,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 43 to last
00-540,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 21 to 41
00-557,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 15 to 19
00-567,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 11 to 13
00-583,Aleje Ujazdowskie,Warszawa,Mazowieckie,from 1 to 9
00-711,Ananasowa,Warszawa,Mazowieckie,
00-157,Anielewicza Mordechaja,Warszawa,Mazowieckie,from 2 to 8 from 1 to 5
00-161,Anielewicza Mordechaja,Warszawa,Mazowieckie,from 7 to 13
00-167,Anielewicza Mordechaja,Warszawa,Mazowieckie,from 10 to 14 from 15 to 19
00-157,Anielewicza Mordechaja,Warszawa,Mazowieckie,from 2 to 8 from 1 to 5
00-161,Anielewicza Mordechaja,Warszawa,Mazowieckie,from 7 to 13
00-167,Anielewicza Mordechaja,Warszawa,Mazowieckie,from 10 to 14 from 15 to 19
00-591,Bacciarellego Marcelego,Warszawa,Mazowieckie,
00-036,Baczynskiego Krzysztofa Kamila,Warszawa,Mazowieckie,
00-036,Baczynskiego Krzysztofa Kamila,Warszawa,Mazowieckie,
00-752,Badowska,Warszawa,Mazowieckie,
00-585,Bagatela,Warszawa,Mazowieckie,
00-112,Bagno,Warszawa,Mazowieckie,
00-705,Bananowa,Warszawa,Mazowieckie,
00-767,Bandoski,Warszawa,Mazowieckie,
00-736,Banioska,Warszawa,Mazowieckie,
00-237,Barokowa,Warszawa,Mazowieckie,
00-337,Bartoszewicza Juliana,Warszawa,Mazowieckie,
00-710,Bartoszka Franciszka,Warszawa,Mazowieckie,
00-716,Bartycka,Warszawa,Mazowieckie,
00-713,"Batalionu AK ""Baltyk""",Warszawa,Mazowieckie,
00-712,"Batalionu AK ""Karpaty""",Warszawa,Mazowieckie,
00-713,"Batalionu AK ""Olza""",Warszawa,Mazowieckie,
00-713,"Batalionu AK ""Rys""",Warszawa,Mazowieckie,
00-310,Bednarska,Warszawa,Mazowieckie,from 2 to 14 from 1 to 11
00-321,Bednarska,Warszawa,Mazowieckie,from 16 to last from 13 to last
00-769,Beethovena Ludwika,Warszawa,Mazowieckie,
00-594,Belwederska,Warszawa,Mazowieckie,from 24 to last
00-761,Belwederska,Warszawa,Mazowieckie,from 1 to last
00-762,Belwederska,Warszawa,Mazowieckie,from 2 to 22
00-895,Biala,Warszawa,Mazowieckie,
00-304,Bialoskornicza,Warszawa,Mazowieckie,
00-085,Bielanska,Warszawa,Mazowieckie,from 2 to last
00-086,Bielanska,Warszawa,Mazowieckie,from 1 to last
00-085,Bielanska,Warszawa,Mazowieckie,from 2 to last
00-086,Bielanska,Warszawa,Mazowieckie,from 1 to last
00-712,Bluszczanska,Warszawa,Mazowieckie,
00-728,Bobrowiecka,Warszawa,Mazowieckie,
00-303,Boczna,Warszawa,Mazowieckie,
00-011,Boduena Gabriela Piotra,Warszawa,Mazowieckie,
00-011,Boduena Gabriela Piotra,Warszawa,Mazowieckie,
00-242,Bohaterow Getta,Warszawa,Mazowieckie,
00-259,Bolesc,Warszawa,Mazowieckie,
00-203,Bonifraterska,Warszawa,Mazowieckie,from 18 to last from 1 to last
00-213,Bonifraterska,Warszawa,Mazowieckie,from 2 to 16
00-203,Bonifraterska,Warszawa,Mazowieckie,from 18 to last from 1 to last
00-213,Bonifraterska,Warszawa,Mazowieckie,from 2 to 16
00-781,Boryszewska,Warszawa,Mazowieckie,
00-621,Boya-Zelenskiego Tadeusza,Warszawa,Mazowieckie,
00-771,Braci Pillatich,Warszawa,Mazowieckie,
00-028,Bracka,Warszawa,Mazowieckie,from 16 to last from 15 to last
00-028,Bracka,Warszawa,Mazowieckie,from 16 to last from 15 to last
00-501,Bracka,Warszawa,Mazowieckie,from 1 to 13
00-502,Bracka,Warszawa,Mazowieckie,from 2 to 14
00-311,Browarna,Warszawa,Mazowieckie,from 6 to last from 1 to last
00-338,Browarna,Warszawa,Mazowieckie,from 2 to 4
00-258,Brzozowa,Warszawa,Mazowieckie,from 1 to last
00-286,Brzozowa,Warszawa,Mazowieckie,from 2 to last
00-285,Bugaj,Warszawa,Mazowieckie,
00-221,Burmistrzowska,Warszawa,Mazowieckie,
00-171,Blonska,Warszawa,Mazowieckie,
00-559,Calinescu Armanda,Warszawa,Mazowieckie,
00-099,Canaletta,Warszawa,Mazowieckie,
00-262,Celna,Warszawa,Mazowieckie,from 1 to last
00-287,Celna,Warszawa,Mazowieckie,from 2 to last
00-613,Chalubinskiego Tytusa,Warszawa,Mazowieckie,from 2 to last
00-724,Chelmska,Warszawa,Mazowieckie,from 1 to last
00-725,Chelmska,Warszawa,Mazowieckie,from 2 to last
00-020,Chmielna,Warszawa,Mazowieckie,from 2 to 36
00-021,Chmielna,Warszawa,Mazowieckie,from 1 to 35
00-117,Chmielna,Warszawa,Mazowieckie,from 38 to 88 from 37 to 67
00-020,Chmielna,Warszawa,Mazowieckie,from 2 to 36
00-021,Chmielna,Warszawa,Mazowieckie,from 1 to 35
00-117,Chmielna,Warszawa,Mazowieckie,from 38 to 88 from 37 to 67
00-801,Chmielna,Warszawa,Mazowieckie,from 90 to 124 from 69 to 73
00-805,Chmielna,Warszawa,Mazowieckie,from 126 to last from 75 to last
00-791,Chocimska,Warszawa,Mazowieckie,
00-559,Chopina Fryderyka,Warszawa,Mazowieckie,
00-867,Chlodna,Warszawa,Mazowieckie,from 25 to last
00-872,Chlodna,Warszawa,Mazowieckie,from 28 to last
00-891,Chlodna,Warszawa,Mazowieckie,from 2 to 26 from 1 to 23
00-232,Ciasna,Warszawa,Mazowieckie,
00-353,Cicha,Warszawa,Mazowieckie,
00-854,Ciepla,Warszawa,Mazowieckie,from 2 to 12 from 1 to 11
00-862,Ciepla,Warszawa,Mazowieckie,from 14 to last from 13 to last
00-087,Corazziego Antoniego,Warszawa,Mazowieckie,
00-087,Corazziego Antoniego,Warszawa,Mazowieckie,
00-727,Cybulskiego Zbyszka,Warszawa,Mazowieckie,
00-713,Cytrynowa,Warszawa,Mazowieckie,
00-043,Czackiego Tadeusza,Warszawa,Mazowieckie,
00-043,Czackiego Tadeusza,Warszawa,Mazowieckie,
00-416,Czerniakowska,Warszawa,Mazowieckie,from 219 to last
00-417,Czerniakowska,Warszawa,Mazowieckie,from 182 to last
00-421,Czerniakowska,Warszawa,Mazowieckie,from 180 to 180
00-436,Czerniakowska,Warszawa,Mazowieckie,from 179 to 217
00-440,Czerniakowska,Warszawa,Mazowieckie,from 162 to 178
00-453,Czerniakowska,Warszawa,Mazowieckie,from 139 to 177
00-454,Czerniakowska,Warszawa,Mazowieckie,from 92 to 160
00-701,Czerniakowska,Warszawa,Mazowieckie,from 2 to 18 from 1 to 3
00-714,Czerniakowska,Warszawa,Mazowieckie,from 20 to 40
00-715,Czerniakowska,Warszawa,Mazowieckie,from 5 to 71
00-717,Czerniakowska,Warszawa,Mazowieckie,from 42 to 90
00-718,Czerniakowska,Warszawa,Mazowieckie,from 73 to 107
00-720,Czerniakowska,Warszawa,Mazowieckie,from 109 to 137
00-732,Czerska,Warszawa,Mazowieckie,
00-574,Czerwijowskiego Faustyna,Warszawa,Mazowieckie,
00-377,Czerwonego Krzyza,Warszawa,Mazowieckie,
00-910,Czerwonych Beretow,Warszawa,Mazowieckie,
00-713,Daktylowa,Warszawa,Mazowieckie,
00-084,Danilowiczowska,Warszawa,Mazowieckie,from 1 to last
00-093,Danilowiczowska,Warszawa,Mazowieckie,from 2 to last
00-084,Danilowiczowska,Warszawa,Mazowieckie,from 1 to last
00-093,Danilowiczowska,Warszawa,Mazowieckie,from 2 to last
00-159,Dawidowskiego Alka,Warszawa,Mazowieckie,
00-159,Dawidowskiego Alka,Warszawa,Mazowieckie,
00-282,Dawna,Warszawa,Mazowieckie,
00-427,Dmochowskiego Franciszka Ksawerego,Warszawa,Mazowieckie,
00-305,Dobra,Warszawa,Mazowieckie,from 92 to last from 89 to last
00-312,Dobra,Warszawa,Mazowieckie,from 42 to 90 from 49 to 87
00-344,Dobra,Warszawa,Mazowieckie,from 26 to 40 from 27 to 47
00-384,Dobra,Warszawa,Mazowieckie,from 1 to 25
00-388,Dobra,Warszawa,Mazowieckie,from 2 to 24
00-895,Dobrzanskiego Bronislawa,Warszawa,Mazowieckie,
00-215,Dolanskiego Wlodzimierza,Warszawa,Mazowieckie,
00-215,Dolanskiego Wlodzimierza,Warszawa,Mazowieckie,
00-773,Dolna,Warszawa,Mazowieckie,from 1 to last
00-774,Dolna,Warszawa,Mazowieckie,from 2 to last
00-051,Dowcip,Warszawa,Mazowieckie,
00-467,Dragonow,Warszawa,Mazowieckie,
00-345,Drewniana,Warszawa,Mazowieckie,
00-182,Dubois Stanislawa,Warszawa,Mazowieckie,from 7 to last
00-184,Dubois Stanislawa,Warszawa,Mazowieckie,from 1 to 5
00-188,Dubois Stanislawa,Warszawa,Mazowieckie,from 6 to last
00-196,Dubois Stanislawa,Warszawa,Mazowieckie,from 2 to 4
00-182,Dubois Stanislawa,Warszawa,Mazowieckie,from 7 to last
00-184,Dubois Stanislawa,Warszawa,Mazowieckie,from 1 to 5
00-188,Dubois Stanislawa,Warszawa,Mazowieckie,from 6 to last
00-196,Dubois Stanislawa,Warszawa,Mazowieckie,from 2 to 4
00-784,Dworkowa,Warszawa,Mazowieckie,
00-354,Dynasy,Warszawa,Mazowieckie,
00-712,"Dywizjonu AK ""Jelen""",Warszawa,Mazowieckie,
00-707,Dyzewskiego Aleksandra,Warszawa,Mazowieckie,
00-279,Dziekania,Warszawa,Mazowieckie,
00-154,Dzielna,Warszawa,Mazowieckie,from 7 to 7A
00-162,Dzielna,Warszawa,Mazowieckie,from 2 to 28 from 1 to 5
00-154,Dzielna,Warszawa,Mazowieckie,from 7 to 7A
00-162,Dzielna,Warszawa,Mazowieckie,from 2 to 28 from 1 to 5
00-172,Dzika,Warszawa,Mazowieckie,from 6 to 18 from 1 to 23
00-194,Dzika,Warszawa,Mazowieckie,from 2 to 4
00-172,Dzika,Warszawa,Mazowieckie,from 6 to 18 from 1 to 23
00-194,Dzika,Warszawa,Mazowieckie,from 2 to 4
00-238,Dluga,Warszawa,Mazowieckie,from 2 to 42 from 9 to last
00-241,Dluga,Warszawa,Mazowieckie,from 44 to last
00-263,Dluga,Warszawa,Mazowieckie,from 1 to 7
00-137,Elektoralna,Warszawa,Mazowieckie,from 1 to last
00-139,Elektoralna,Warszawa,Mazowieckie,from 2 to 22
00-137,Elektoralna,Warszawa,Mazowieckie,from 1 to last
00-139,Elektoralna,Warszawa,Mazowieckie,from 2 to 22
00-892,Elektoralna,Warszawa,Mazowieckie,from 24 to last
00-346,Elektryczna,Warszawa,Mazowieckie,
00-446,Fabryczna,Warszawa,Mazowieckie,
00-713,Figowa,Warszawa,Mazowieckie,
00-611,Filtrowa,Warszawa,Mazowieckie,from 2 to 8 from 1 to 11
00-586,Flory,Warszawa,Mazowieckie,
00-366,Foksal,Warszawa,Mazowieckie,from 2 to 14 from 1 to 7
00-372,Foksal,Warszawa,Mazowieckie,from 16 to last from 9 to last
00-215,Fondaminskiego Edwarda,Warszawa,Mazowieckie,
00-215,Fondaminskiego Edwarda,Warszawa,Mazowieckie,
00-200,Franciszkanska,Warszawa,Mazowieckie,from 21 to last
00-205,Franciszkanska,Warszawa,Mazowieckie,from 16 to last from 11 to 19
00-214,Franciszkanska,Warszawa,Mazowieckie,from 2 to 14
00-200,Franciszkanska,Warszawa,Mazowieckie,from 21 to last
00-205,Franciszkanska,Warszawa,Mazowieckie,from 16 to last from 11 to 19
00-214,Franciszkanska,Warszawa,Mazowieckie,from 2 to 14
00-227,Franciszkanska,Warszawa,Mazowieckie,from 1 to 1
00-233,Franciszkanska,Warszawa,Mazowieckie,from 3 to 9
00-483,Frascati,Warszawa,Mazowieckie,from 2 to last
00-492,Frascati,Warszawa,Mazowieckie,from 1 to last
00-097,Fredry Aleksandra,Warszawa,Mazowieckie,
00-097,Fredry Aleksandra,Warszawa,Mazowieckie,
00-227,Freta,Warszawa,Mazowieckie,
00-910,Frontowa,Warszawa,Mazowieckie,
00-313,Furmanska,Warszawa,Mazowieckie,
00-747,Gagarina Jurija,Warszawa,Mazowieckie,from 109 to last
00-748,Gagarina Jurija,Warszawa,Mazowieckie,from 34 to last
00-753,Gagarina Jurija,Warszawa,Mazowieckie,from 1 to 107
00-754,Gagarina Jurija,Warszawa,Mazowieckie,from 2 to 32
00-089,Gamerskiego Tylmana,Warszawa,Mazowieckie,
00-089,Gamerskiego Tylmana,Warszawa,Mazowieckie,
00-306,Garbarska,Warszawa,Mazowieckie,
00-362,Galczynskiego Konstantego Ildefonsa,Warszawa,Mazowieckie,
00-068,Generala Tokarzewskiego Karaszewicza Michala,Warszawa,Mazowieckie,
00-068,Generala Tokarzewskiego Karaszewicza Michala,Warszawa,Mazowieckie,
00-910,Gierczak Emilii,Warszawa,Mazowieckie,
00-772,Gierymskiego Aleksandra,Warszawa,Mazowieckie,
00-232,Gomulickiego Wiktora,Warszawa,Mazowieckie,
00-794,Goworka,Warszawa,Mazowieckie,
00-704,Gosciniec,Warszawa,Mazowieckie,
00-519,Grabowskiego Antoniego,Warszawa,Mazowieckie,
00-130,Graniczna,Warszawa,Mazowieckie,
00-308,Grodzka,Warszawa,Mazowieckie,
00-785,Grottgera Artura,Warszawa,Mazowieckie,
00-713,"Grupy AK ""Polnoc""",Warszawa,Mazowieckie,
00-131,Grzybowska,Warszawa,Mazowieckie,from 2 to 10
00-132,Grzybowska,Warszawa,Mazowieckie,from 12 to 26 from 1 to 25
00-131,Grzybowska,Warszawa,Mazowieckie,from 2 to 10
00-132,Grzybowska,Warszawa,Mazowieckie,from 12 to 26 from 1 to 25
00-844,Grzybowska,Warszawa,Mazowieckie,from 52 to last from 45 to last
00-855,Grzybowska,Warszawa,Mazowieckie,from 27 to 43
00-863,Grzybowska,Warszawa,Mazowieckie,from 28 to 50
00-704,Gwintowa,Warszawa,Mazowieckie,
00-432,Gornoslaska,Warszawa,Mazowieckie,from 8 to 16 from 25 to 43
00-443,Gornoslaska,Warszawa,Mazowieckie,from 1 to 21
00-444,Gornoslaska,Warszawa,Mazowieckie,from 2 to 6
00-447,Gornoslaska,Warszawa,Mazowieckie,from 23 to 23
00-458,Gornoslaska,Warszawa,Mazowieckie,from 45 to last
00-484,Gornoslaska,Warszawa,Mazowieckie,from 18 to last
00-740,Gorska,Warszawa,Mazowieckie,
00-033,Gorskiego Wojciecha,Warszawa,Mazowieckie,
00-033,Gorskiego Wojciecha,Warszawa,Mazowieckie,
00-711,Gasocinska,Warszawa,Mazowieckie,
00-314,Gesta,Warszawa,Mazowieckie,
00-769,Hanczy Wladyslawa,Warszawa,Mazowieckie,
00-707,Hempla Stanislawa,Warszawa,Mazowieckie,
00-092,Hipoteczna,Warszawa,Mazowieckie,from 2 to 4 from 1 to last
00-092,Hipoteczna,Warszawa,Mazowieckie,from 2 to 4 from 1 to last
00-244,Hipoteczna,Warszawa,Mazowieckie,from 6 to last
00-434,Hoene-Wronskiego Jozefa Marii,Warszawa,Mazowieckie,from nr 2 to last from nr 3 to last
00-459,Hoene-Wronskiego Jozefa Marii nr 1,Warszawa,Mazowieckie,
00-749,Holowki Tadeusza,Warszawa,Mazowieckie,
00-516,Hoza,Warszawa,Mazowieckie,from 22 to 44
00-521,Hoza,Warszawa,Mazowieckie,from 19 to 31
00-528,Hoza,Warszawa,Mazowieckie,from 2 to 20 from 1 to 17
00-681,Hoza,Warszawa,Mazowieckie,from 33 to last
00-682,Hoza,Warszawa,Mazowieckie,from 46 to last
00-730,Huculska,Warszawa,Mazowieckie,
00-789,Humanska,Warszawa,Mazowieckie,
00-710,Idzikowskiego Ludwika,Warszawa,Mazowieckie,from 2 to 30
00-442,Idzkowskiego Adama,Warszawa,Mazowieckie,
00-189,Inflancka,Warszawa,Mazowieckie,
00-735,Iwicka,Warszawa,Mazowieckie,
00-378,Jaracza Stefana,Warszawa,Mazowieckie,
00-003,Jasna,Warszawa,Mazowieckie,from 9 to 17
00-007,Jasna,Warszawa,Mazowieckie,from 5 to 7
00-013,Jasna,Warszawa,Mazowieckie,from 2 to 12 from 1 to 3
00-041,Jasna,Warszawa,Mazowieckie,from 14 to 16
00-054,Jasna,Warszawa,Mazowieckie,from 18 to last
00-058,Jasna,Warszawa,Mazowieckie,from 19 to last
00-003,Jasna,Warszawa,Mazowieckie,from 9 to 17
00-007,Jasna,Warszawa,Mazowieckie,from 5 to 7
00-013,Jasna,Warszawa,Mazowieckie,from 2 to 12 from 1 to 3
00-041,Jasna,Warszawa,Mazowieckie,from 14 to 16
00-054,Jasna,Warszawa,Mazowieckie,from 18 to last
00-058,Jasna,Warszawa,Mazowieckie,from 19 to last
00-766,Jaworowska,Warszawa,Mazowieckie,
00-634,Jaworzynska,Warszawa,Mazowieckie,
00-467,Jazdow,Warszawa,Mazowieckie,
00-730,Jazgarzewska,Warszawa,Mazowieckie,
00-731,Jedwabnicza,Warszawa,Mazowieckie,
00-457,Jezierskiego Franciszka Salezego,Warszawa,Mazowieckie,
00-281,Jezuicka,Warszawa,Mazowieckie,
00-275,Kamienne Schodki,Warszawa,Mazowieckie,
00-278,Kanonia,Warszawa,Mazowieckie,
00-249,Kapitulna,Warszawa,Mazowieckie,from 2 to last
00-253,Kapitulna,Warszawa,Mazowieckie,from 1 to last
00-245,Kapucynska,Warszawa,Mazowieckie,
00-327,Karasia Kazimierza,Warszawa,Mazowieckie,
00-149,Karmelicka,Warszawa,Mazowieckie,from 2 to 6 from 1 to 5
00-155,Karmelicka,Warszawa,Mazowieckie,from 8 to 8 from 7 to 11
00-163,Karmelicka,Warszawa,Mazowieckie,from 10 to 18 from 13 to 15
00-168,Karmelicka,Warszawa,Mazowieckie,from 17 to 21
00-173,Karmelicka,Warszawa,Mazowieckie,from 23 to last
00-181,Karmelicka,Warszawa,Mazowieckie,from 24 to last
00-186,Karmelicka,Warszawa,Mazowieckie,from 20 to 22
00-149,Karmelicka,Warszawa,Mazowieckie,from 2 to 6 from 1 to 5
00-155,Karmelicka,Warszawa,Mazowieckie,from 8 to 8 from 7 to 11
00-163,Karmelicka,Warszawa,Mazowieckie,from 10 to 18 from 13 to 15
00-168,Karmelicka,Warszawa,Mazowieckie,from 17 to 21
00-173,Karmelicka,Warszawa,Mazowieckie,from 23 to last
00-181,Karmelicka,Warszawa,Mazowieckie,from 24 to last
00-186,Karmelicka,Warszawa,Mazowieckie,from 20 to 22
00-315,Karowa,Warszawa,Mazowieckie,from 2 to 12 from 1 to 29
00-324,Karowa,Warszawa,Mazowieckie,from 14 to last from 31 to last
00-733,Kaszubska,Warszawa,Mazowieckie,
00-468,Kawalerii,Warszawa,Mazowieckie,
00-728,Kierbedzia Stanislawa,Warszawa,Mazowieckie,
00-257,Kilinskiego Jana,Warszawa,Mazowieckie,
00-591,Klonowa,Warszawa,Mazowieckie,
00-775,Konduktorska,Warszawa,Mazowieckie,
00-335,Konopczynskiego Emiliana,Warszawa,Mazowieckie,
00-491,Konopnickiej Marii,Warszawa,Mazowieckie,
00-206,Konwiktorska,Warszawa,Mazowieckie,from 6 to 6
00-216,Konwiktorska,Warszawa,Mazowieckie,from 5 to last
00-217,Konwiktorska,Warszawa,Mazowieckie,from 2 to 4 from 8 to last from 1 to 3
00-206,Konwiktorska,Warszawa,Mazowieckie,from 6 to 6
00-216,Konwiktorska,Warszawa,Mazowieckie,from 5 to last
00-217,Konwiktorska,Warszawa,Mazowieckie,from 2 to 4 from 8 to last from 1 to 3
00-328,Kopernika Mikolaja,Warszawa,Mazowieckie,from 36 to last from 27 to last
00-336,Kopernika Mikolaja,Warszawa,Mazowieckie,from 22 to 34
00-359,Kopernika Mikolaja,Warszawa,Mazowieckie,from 11 to 25
00-367,Kopernika Mikolaja,Warszawa,Mazowieckie,from 2 to 20 from 1 to 9
00-768,Kostrzewskiego Franciszka,Warszawa,Mazowieckie,
00-706,Koszykarska,Warszawa,Mazowieckie,
00-553,Koszykowa,Warszawa,Mazowieckie,from 22 to 30 from 29 to 37
00-555,Koszykowa,Warszawa,Mazowieckie,from 18 to 20
00-562,Koszykowa,Warszawa,Mazowieckie,from 5 to 27
00-564,Koszykowa,Warszawa,Mazowieckie,from 2 to 16 from 1 to 3
00-659,Koszykowa,Warszawa,Mazowieckie,from 39 to 57
00-660,Koszykowa,Warszawa,Mazowieckie,from 59 to 59
00-662,Koszykowa,Warszawa,Mazowieckie,from 75 to 77
00-667,Koszykowa,Warszawa,Mazowieckie,from 61 to 73
00-671,Koszykowa,Warszawa,Mazowieckie,from 70 to 78
00-673,Koszykowa,Warszawa,Mazowieckie,from 56 to 68
00-675,Koszykowa,Warszawa,Mazowieckie,from 32 to 54
